,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Sun Jul 08 21:07:05 +0000 2018,"Justin Bieber 'engaged to Hailey Baldwin', US media say. 👉 https://t.co/j8cKfq8AtD https://t.co/HkqnZAQJi4",0.4019,0.162,0.838,0.0,1
1,BBC,Sun Jul 08 20:52:12 +0000 2018,"RT @BBCBreaking: UK police launch murder inquiry after Dawn Sturgess, 44, dies after exposure to nerve agent Novichok https://t.co/adk3o7Sj…",-0.6908,0.0,0.793,0.207,2
2,BBC,Sun Jul 08 20:05:00 +0000 2018,"✊🛍🛒 This family have changed their shopping habits to reduce their plastic footprint.
#PlasticsAction https://t.co/RL3U1Vk7EN",0.0,0.0,1.0,0.0,3
3,BBC,Sun Jul 08 19:04:02 +0000 2018,❤️ This man is cleaning all 388 Holocaust plaques in his city. https://t.co/AfdxFBxxJ4,0.0,0.0,1.0,0.0,4
4,BBC,Sun Jul 08 18:04:02 +0000 2018,'Did air pollution kill my daughter?' https://t.co/XzWSWFga6S,-0.6908,0.0,0.561,0.439,5
5,BBC,Sun Jul 08 17:32:05 +0000 2018,"The operation to free 12 boys and their coach from a cave in northern Thailand is running ""smoothly"", the head of t… https://t.co/fbCN1JeN1K",0.5106,0.136,0.864,0.0,6
6,BBC,Sun Jul 08 17:02:03 +0000 2018,"🎶🎻✨ Tonight, @thekatiederham introduces 2018's open-air concert from the magnificent gardens of the Schonbrunn Pala… https://t.co/AHAYPRtAJn",0.5994,0.206,0.794,0.0,7
7,BBC,Sun Jul 08 16:03:04 +0000 2018,"Look back at the 2008 #Wimbledon final between @rogerfederer and @RafaelNadal, widely acknowledged as one of the gr… https://t.co/bNcdnjna2s",0.0,0.0,1.0,0.0,8
8,BBC,Sun Jul 08 15:02:07 +0000 2018,"⚡️ This 15-year-old inventor is bringing cheap electricity to the developing world. 
(via @BBCThree) https://t.co/UWVzHhRs12",0.0,0.0,1.0,0.0,9
9,BBC,Sun Jul 08 14:59:01 +0000 2018,"RT @BBCWorld: Nine boys and their coach will spend another night trapped in Thai cave, as rescue operation is paused for at least 10 hours…",-0.0258,0.111,0.774,0.114,10
10,BBC,Sun Jul 08 14:02:01 +0000 2018,"🍄 Increasingly, scientists are looking at whether some mind-altering drugs might also have the potential to be mind… https://t.co/srd1w793nY",0.0,0.0,1.0,0.0,11
11,BBC,Sun Jul 08 13:08:43 +0000 2018,RT @BBCNews: First boys 'rescued from Thailand cave' https://t.co/86U00UcvHn,0.4215,0.259,0.741,0.0,12
12,BBC,Sun Jul 08 13:03:02 +0000 2018,The remarkable Viking discovery on the Isle of Skye. https://t.co/QV4CIcIO9L,0.5574,0.286,0.714,0.0,13
13,BBC,Sun Jul 08 12:06:07 +0000 2018,"""Y'alright love?""

😂 This crow has a Yorkshire accent and it's amazing. https://t.co/3J8BQGiZM7",0.7717,0.338,0.578,0.084,14
14,BBC,Sun Jul 08 11:03:07 +0000 2018,"Whether your whole household is vegetarian or you're just trying to cut down on your meat intake, everyone will lov… https://t.co/mvwy1TIacc",-0.2732,0.0,0.905,0.095,15
15,BBC,Sun Jul 08 10:02:04 +0000 2018,These little eels have travelled all the way from near the Bahamas to Scotland. https://t.co/P1oXYtSXD1,0.0,0.0,1.0,0.0,16
16,BBC,Sun Jul 08 09:03:05 +0000 2018,"😳🏝 Still haunted by the image of Pierce Brosnan dancing in flippers? Well, he’s back. 

🎥🍿 These are the nine films… https://t.co/Xw6O9UYha4",-0.25,0.083,0.794,0.123,17
17,BBC,Sun Jul 08 08:12:23 +0000 2018,"RT @bbc5live: Just in case you missed this last night on @bbc5live 

28 years on from Italia 90, @chriswaddle93 gets emotional as England m…",-0.1531,0.062,0.853,0.085,18
18,BBC,Sun Jul 08 08:12:10 +0000 2018,"RT @BBCWorld: Hang on boys, rescue is coming. 🐗🇹🇭

The mission to rescue 12 boys and football coach from a cave in Thailand has begun - and…",0.765,0.223,0.777,0.0,19
19,BBC,Sun Jul 08 08:12:00 +0000 2018,"RT @BBCFood: 7 recipes for all the gluten-free people deciding what to have to breakfast 🤷‍♀
https://t.co/vP56pf2KB1 https://t.co/zwNCvt0kKr",0.0,0.0,1.0,0.0,20
20,BBC,Sun Jul 08 08:11:54 +0000 2018,RT @BBCBreakfast: Everyone needs this delicious dose of doggy cuteness 😍😍 https://t.co/Bq4AebzsRy,0.826,0.434,0.566,0.0,21
21,BBC,Sun Jul 08 08:11:03 +0000 2018,RT @BBCNewsNI: Motorcycle racer William Dunlop killed in a crash at the Skerries 100 road races https://t.co/6m5CFDY1Jp https://t.co/53B15j…,-0.802,0.0,0.676,0.324,22
22,BBC,Sun Jul 08 08:02:03 +0000 2018,😍🏝 Paradise is on our doorstep!  https://t.co/BWrCJcIzHl,0.6696,0.428,0.572,0.0,23
23,BBC,Sat Jul 07 19:09:04 +0000 2018,'You don't look autistic' and other things not to say to people with autism. https://t.co/1GQS1Icvms,0.0,0.0,1.0,0.0,24
24,BBC,Sat Jul 07 18:05:03 +0000 2018,"A South African woman is recovering in hospital after being discovered alive in a mortuary fridge.
👉… https://t.co/IhrhDG1W2A",0.3818,0.148,0.852,0.0,25
25,BBC,Sat Jul 07 17:05:04 +0000 2018,The women paid to cry at the funerals of strangers. https://t.co/oF6wA0ecwI,-0.6908,0.0,0.612,0.388,26
26,BBC,Sat Jul 07 16:03:07 +0000 2018,These are the nine TV shows you NEED to watch in July. ☀️📺🌡 https://t.co/p1pIcjGKap https://t.co/QCXpJOUav1,0.0,0.0,1.0,0.0,27
27,BBC,Sat Jul 07 16:01:37 +0000 2018,"What a moment! ️⚽️👏

England are into the #WorldCup semi-finals for the first time since 1990. 👉… https://t.co/jCgcFi9kjg",0.0,0.0,1.0,0.0,28
28,BBC,Sat Jul 07 15:55:59 +0000 2018,RT @BBCSport: Hey Zlatan... you owe David Beckham dinner! 😉 #ENGSWE #bbcworldcup #ThreeLions https://t.co/Kf8auWDumI,0.0,0.0,1.0,0.0,29
29,BBC,Sat Jul 07 15:55:41 +0000 2018,"RT @BBCSport: THEY'VE DONE IT!

England have reached a #WorldCup semi-final for the first time since 1990!

FT: #SWE 0-2 #ENG 

Reaction:
📺…",0.2462,0.086,0.914,0.0,30
30,BBC,Sat Jul 07 15:08:04 +0000 2018,🖼 How can virtual reality help visually impaired people 'see' art? https://t.co/9Ry7wblTsn,0.4019,0.184,0.816,0.0,31
31,BBC,Sat Jul 07 13:57:03 +0000 2018,"BREAKING: News just in on the #Poldark set... 

#ENGSWE #ENG #WorldCup 

https://t.co/SXiXO99gi4",0.0,0.0,1.0,0.0,32
32,BBC,Sat Jul 07 13:14:05 +0000 2018,😍🖼 10-year-old Kareem is an OUTSTANDING artist. https://t.co/Ip4X0w1dpc,0.694,0.403,0.597,0.0,33
33,BBC,Sat Jul 07 12:51:07 +0000 2018,"Can the #ThreeLions go one step further? Today England face Sweden in the #WorldCup quarter-finals. #ENGSWE

Englan… https://t.co/z7uo1UoVvR",0.0,0.0,1.0,0.0,34
34,BBC,Sat Jul 07 12:36:36 +0000 2018,"RT @BBCOne: To all the Delias out there, we hope you find your Patsy. Happy Pride! 🌈 #Pride2018 https://t.co/uBSjFODU1S",0.8516,0.367,0.633,0.0,35
35,BBC,Sat Jul 07 12:36:04 +0000 2018,RT @bbcthree: This Amazing Human uses coffee to give homeless people a second chance. https://t.co/NkhLSn6KTB,0.7579,0.351,0.649,0.0,36
36,BBC,Sat Jul 07 12:31:04 +0000 2018,"One. Step. Closer. ️⚽️➡️🏠

Here's what could happen if @England won the #WorldCup... 

#ENGSWE #ENG #ThreeLions

https://t.co/XXqMRopNvK",0.5719,0.188,0.812,0.0,37
37,BBC,Sat Jul 07 12:02:02 +0000 2018,"Scientists have designed a special type of drug that helps the body eat and destroy cancerous cells.
👉… https://t.co/0kv12B5SRu",0.2023,0.223,0.63,0.147,38
38,BBC,Sat Jul 07 11:03:09 +0000 2018,From vegetarian chilli to truffle pots: celebrate #WolrdChocolateDay in style with these recipes from @BBCFood. 😍🍫… https://t.co/mlGEbp1WII,0.5719,0.188,0.812,0.0,39
39,BBC,Sat Jul 07 10:07:03 +0000 2018,😂 #Wimbledon has started and suddenly EVERYONE is a tennis expert. https://t.co/TYjCmdDXxP,0.4404,0.203,0.695,0.102,40
40,BBC,Sat Jul 07 09:04:06 +0000 2018,🏃🏻‍♂️ Take a #parkour tour of Glasgow with Scotland's @RobbieJGriffith. https://t.co/SlvAKocTJ2,0.0,0.0,1.0,0.0,41
41,BBC,Sat Jul 07 08:50:30 +0000 2018,"RT @BBCSport: Stop EVERYTHING you are doing! ✋✋✋

Cancel your wedding! 👰
Don't go shopping! 🛍
The holiday can wait! ✈️
Forget that first da…",-0.5526,0.079,0.707,0.214,42
42,BBC,Sat Jul 07 08:50:23 +0000 2018,"RT @bbceastenders: “I realised what an important story it was to tell.”
@Bonnie_Langford and @DavoodGhadami discuss the knife crime storyli…",-0.4019,0.077,0.773,0.15,43
43,BBC,Sat Jul 07 08:38:06 +0000 2018,RT @BBCNews: Steve Ditko: Spider-Man co-creator found dead at 90 https://t.co/Epd0LTJUKP,-0.6486,0.0,0.699,0.301,44
44,BBC,Sat Jul 07 08:03:06 +0000 2018,"Seven years after her death, these previously unseen photographs show Amy Winehouse at ease in front of her friend'… https://t.co/bYoqpBhIeV",-0.34,0.102,0.738,0.16,45
45,BBC,Sat Jul 07 07:04:07 +0000 2018,"Yassine scavenged on the dump for eight years. Now he runs it. 

https://t.co/gUOhlrkv6P",-0.3818,0.0,0.822,0.178,46
